ID,LMSTAR,ELLIP,INTR_ELLIP,LAMBDAR_RE,LAMBDAR_RE_EO
11218.0,9.840807525046728,0.105182,0.257129,0.167847,0.275466
2892.0,10.178124991782568,0.500462,0.532981,0.68603,0.686939
6494.0,10.207268325217626,0.102359,0.517249,0.443956,0.634661
9109.0,10.202555266745946,0.187915,0.316949,0.260134,0.295189
2731.0,11.071300116904638,0.486438,0.419151,0.367569,0.598161
3174.0,10.714068023093603,0.473465,0.51434,0.244161,0.294297
9505.0,10.264934150107763,0.251093,0.313379,0.226321,0.286605
6387.0,10.308095542319677,0.456406,0.517883,0.445741,0.506172
5368.0,10.69890555513706,0.289579,0.454431,0.590237,0.646954
286.0,10.483702269919775,0.0621063,0.563765,0.239341,0.645374
8461.0,10.100531188376806,0.327319,0.479112,0.276821,0.330786
3302.0,10.909186927207372,0.396345,0.377772,0.460702,0.48167
10878.0,10.421616164573095,0.468109,0.470328,0.372012,0.366869
9179.0,10.623575774558446,0.0171323,0.0880189,0.468664,0.548263
10587.0,10.389648047812841,0.14759,0.329381,0.219161,0.301171
10982.0,9.809346763022802,0.103501,0.262634,0.155527,0.172004
10119.0,10.258637038596532,0.379309,0.350893,0.621576,0.644323
7856.0,10.590476600058935,0.133411,0.363206,0.101978,0.17749
9272.0,10.502995101340673,0.296673,0.268955,0.117634,0.119724
7589.0,10.947307196982763,0.22278,0.575807,0.391917,0.68906
5463.0,9.89297351015415,0.194722,0.383936,0.304659,0.383478
3603.0,9.816689101584814,0.16119,0.184262,0.297669,0.359292
648.0,10.069201079734228,0.446551,0.450593,0.505752,0.528553
9309.0,10.007423964866064,0.183682,0.39804,0.209611,0.433486
1625.0,9.74125346315708,0.0924039,0.117712,0.225814,0.195853
4644.0,11.784470168479345,0.0439215,0.107745,0.241569,0.307191
682.0,10.58795699251499,0.393419,0.425198,0.35621,0.375816
1228.0,10.119962302573583,0.0947235,0.252907,0.329779,0.379641
814.0,10.072173682578466,0.186033,0.547979,0.190158,0.508155
660.0,9.916027633078954,0.27065,0.369982,0.293873,0.296069
5384.0,10.384019461997411,0.647481,0.688981,0.720505,0.786575
250.0,10.087310401328466,0.151971,0.176982,0.195986,0.303227
1746.0,9.868542281516454,0.171481,0.183548,0.266367,0.440406
5267.0,9.95721682680454,0.507103,0.603086,0.533813,0.615423
