ID,LMSTAR,ELLIP,INTR_ELLIP,LAMBDAR_RE,LAMBDAR_RE_EO
1374 ,10.715413421006874,0.11238003,0.24229002,0.06371521,0.069542915
8709 ,10.426643795200496,0.30095,0.30488002,0.22564623,0.23832853
2380 ,11.292364880427364,0.05418998,0.054729998,0.06429077,0.06785574
527  ,11.022703073326223,0.23207998,0.33516997,0.31397665,0.2742319
1473 ,10.745937162543928,0.037639976,0.039789975,0.09571693,0.09126984
5311 ,10.314815572918583,0.31666,0.24865001,0.22122382,0.15778606
4276 ,10.446010528589026,0.16372001,0.54424,0.37346938,0.25309026
20689,10.207675482843628,0.08993,0.29307997,0.34244588,0.29629192
478  ,11.15319604166048,0.23503,0.52895,0.33712313,0.26690173
53128,10.714319139611366,0.032649994,0.53364,0.08813919,0.294922
8084 ,10.671045115055472,0.34633,0.39299,0.3473413,0.34636012
7488 ,10.931661534208635,0.09468001,0.39012003,0.28773776,0.14530154
5870 ,10.690369211588813,0.26414,0.43357003,0.3762994,0.3151659
2128 ,10.814029897851654,0.22319001,0.41726,0.27489874,0.27976114
7706 ,10.85682783093419,0.30007,0.32551998,0.19269247,0.17413574
17232,10.506620816782634,0.21736002,0.43657,0.32668278,0.24848706
3195 ,10.843486020162006,0.20481998,0.18713999,0.23875932,0.21255335
6064 ,10.091865800137354,0.39988,0.49772,0.3526234,0.25151533
883  ,11.29223617617652,0.20561999,0.17842,0.05004292,0.059127145
21604,10.247923757298059,0.020500004,0.26263,0.11778659,0.26381525
22378,9.701404477298647,0.06467998,0.18357003,0.25164315,0.17776895
9458 ,10.187888892034968,0.39595997,0.35904998,0.20279945,0.07920032
14978,10.37299074307993,0.34555,0.44936,0.46462733,0.27645558
22986,10.09121201401537,0.43553,0.33155,0.27865773,0.31995362
2144 ,10.937660312582183,0.16494,0.56812,0.2403691,0.22751693
31436,9.793907612350923,0.36052,0.31299,0.19221966,0.20857187
634  ,10.929281392730118,0.28070998,0.20428002,0.21248299,0.30073807
52836,10.351478596586032,0.081910014,0.04346001,0.11946604,0.12220079
10475,10.108684712153147,0.03157997,0.016080022,0.059580483,0.08526844
7818 ,10.604105492307507,0.35524,0.27962,0.3027629,0.2579623
36243,10.032685198931423,0.10648,0.26439,0.38873604,0.3555989
2816 ,10.132528486251598,0.10225999,0.26524,0.141245,0.16618395
10652,10.349407527336762,0.15332001,0.37928998,0.31780165,0.2652461
2776 ,11.073456414969163,0.22178,0.46357,0.37670374,0.3399593
11640,10.365325477746431,0.06494999,0.33442003,0.07506159,0.3571577
196  ,10.825127449344228,0.11672002,0.42804003,0.30157286,0.2764889
